deal_id,customer,segment,industry,created_date,closed_date,stage,amount,owner,region
1,Acme Corp,SMB,SaaS,2024-01-02,2024-01-20,Closed Won,15000,Alice Johnson,North America
2,Techify,Enterprise,FinTech,2024-01-05,2024-02-15,Closed Won,75000,Bob Smith,EMEA
3,DataWorks,Mid-Market,Healthcare,2024-01-08,,Negotiation,45000,Chris Lee,APAC
4,CloudBase,SMB,SaaS,2024-01-10,2024-01-28,Closed Lost,12000,Alice Johnson,North America
5,InnoTech,Enterprise,FinTech,2024-01-12,2024-02-05,Closed Won,90000,Bob Smith,EMEA
6,SoftSolutions,SMB,Healthcare,2024-01-15,2024-01-30,Closed Won,18000,Chris Lee,North America
7,NextGen Systems,Mid-Market,SaaS,2024-01-17,,Proposal,50000,Alice Johnson,APAC
8,HyperCloud,Enterprise,FinTech,2024-01-20,2024-02-18,Closed Lost,82000,Bob Smith,EMEA
9,DataStream,SMB,SaaS,2024-01-22,2024-02-10,Closed Won,22000,Chris Lee,North America
10,CloudWorks,Mid-Market,Healthcare,2024-01-25,,Negotiation,47000,Alice Johnson,APAC
11,InfoTech,Enterprise,FinTech,2024-01-28,2024-02-20,Closed Won,91000,Bob Smith,EMEA
12,BlueWave,SMB,SaaS,2024-02-01,2024-02-15,Closed Lost,14000,Chris Lee,North America
13,QuantumSoft,Mid-Market,Healthcare,2024-02-03,,Proposal,52000,Alice Johnson,APAC
14,SkyNet,Enterprise,FinTech,2024-02-05,2024-02-25,Closed Won,87000,Bob Smith,EMEA
15,Alpha Solutions,SMB,SaaS,2024-02-08,2024-02-28,Closed Won,16000,Chris Lee,North America
16,NextWave,Mid-Market,Healthcare,2024-02-10,,Negotiation,48000,Alice Johnson,APAC
17,DataCore,Enterprise,FinTech,2024-02-12,2024-03-05,Closed Lost,95000,Bob Smith,EMEA
18,CloudPeak,SMB,SaaS,2024-02-15,2024-03-01,Closed Won,20000,Chris Lee,North America
19,InnovaTech,Mid-Market,Healthcare,2024-02-18,,Proposal,53000,Alice Johnson,APAC
20,HyperSolutions,Enterprise,FinTech,2024-02-20,2024-03-12,Closed Won,88000,Bob Smith,EMEA
21,BlueTech,SMB,SaaS,2024-02-22,2024-03-08,Closed Lost,17000,Chris Lee,North America
22,SoftNet,Mid-Market,Healthcare,2024-02-25,,Negotiation,49000,Alice Johnson,APAC
23,Quantum Systems,Enterprise,FinTech,2024-02-28,2024-03-18,Closed Won,92000,Bob Smith,EMEA
24,CloudLogic,SMB,SaaS,2024-03-02,2024-03-20,Closed Won,21000,Chris Lee,North America
25,InfoWave,Mid-Market,Healthcare,2024-03-05,,Proposal,54000,Alice Johnson,APAC
26,NextTech,Enterprise,FinTech,2024-03-08,2024-03-28,Closed Lost,94000,Bob Smith,EMEA
27,BlueCloud,SMB,SaaS,2024-03-10,2024-03-25,Closed Won,23000,Chris Lee,North America
28,AlphaWave,Mid-Market,Healthcare,2024-03-12,,Negotiation,50000,Alice Johnson,APAC
29,DataPeak,Enterprise,FinTech,2024-03-15,2024-04-05,Closed Won,89000,Bob Smith,EMEA
30,CloudNet,SMB,SaaS,2024-03-18,2024-04-02,Closed Lost,18000,Chris Lee,North America
31,InfoCore,Mid-Market,Healthcare,2024-03-20,,Proposal,55000,Alice Johnson,APAC
32,NextGenTech,Enterprise,FinTech,2024-03-22,2024-04-10,Closed Won,93000,Bob Smith,EMEA
33,SoftCloud,SMB,SaaS,2024-03-25,2024-04-12,Closed Won,24000,Chris Lee,North America
34,HyperData,Mid-Market,Healthcare,2024-03-28,,Negotiation,51000,Alice Johnson,APAC
35,BlueLogic,Enterprise,FinTech,2024-03-30,2024-04-18,Closed Lost,97000,Bob Smith,EMEA
36,CloudWorks,SMB,SaaS,2024-04-02,2024-04-20,Closed Won,26000,Chris Lee,North America
37,InfoTech,Mid-Market,Healthcare,2024-04-05,,Proposal,56000,Alice Johnson,APAC
38,NextWave,Enterprise,FinTech,2024-04-08,2024-04-28,Closed Won,94000,Bob Smith,EMEA
39,SoftPeak,SMB,SaaS,2024-04-10,2024-04-30,Closed Lost,25000,Chris Lee,North America
40,DataLogic,Mid-Market,Healthcare,2024-04-12,,Negotiation,52000,Alice Johnson,APAC
41,AlphaCloud,Enterprise,FinTech,2024-04-15,2024-05-05,Closed Won,96000,Bob Smith,EMEA
42,BlueWave,SMB,SaaS,2024-04-18,2024-05-08,Closed Won,27000,Chris Lee,North America
43,NextTech,Mid-Market,Healthcare,2024-04-20,,Proposal,57000,Alice Johnson,APAC
44,CloudPeak,Enterprise,FinTech,2024-04-22,2024-05-12,Closed Lost,98000,Bob Smith,EMEA
45,SoftNet,SMB,SaaS,2024-04-25,2024-05-15,Closed Won,28000,Chris Lee,North America
46,QuantumSoft,Mid-Market,Healthcare,2024-04-28,,Negotiation,53000,Alice Johnson,APAC
47,DataWorks,Enterprise,FinTech,2024-04-30,2024-05-20,Closed Won,99000,Bob Smith,EMEA
48,CloudBase,SMB,SaaS,2024-05-02,2024-05-22,Closed Lost,29000,Chris Lee,North America
49,InnoTech,Mid-Market,Healthcare,2024-05-05,,Proposal,58000,Alice Johnson,APAC
50,HyperCloud,Enterprise,FinTech,2024-05-08,2024-05-28,Closed Won,100000,Bob Smith,EMEA
